Rank,Symbol,Company Name,Sector,Close,Pct Change,Today Volume,15D Avg Volume,Volume Ratio,Days of Data,Date
641,RATNAMANI.NS,Ratnamani Metals & Tubes Ltd.,Capital Goods,2568.2,0.96,18738,47979,0.3905,16,2026-06-03
642,JSWSTEEL.NS,JSW Steel Ltd.,Metals & Mining,1312.9,0.16,814899,2092392,0.3895,16,2026-06-03
643,VGUARD.NS,V-Guard Industries Ltd.,Consumer Durables,300.7,-1.0,167620,435533,0.3849,16,2026-06-03
644,AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare,378.4,-0.63,57062,148279,0.3848,16,2026-06-03
645,GAEL.NS,Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,153.0,-1.68,297328,777902,0.3822,16,2026-06-03
646,SANDUMA.NS,Sandur Manganese & Iron Ores Ltd.,Oil Gas & Consumable Fuels,226.86,-1.02,753706,1984802,0.3797,16,2026-06-03
647,JKLAKSHMI.NS,JK Lakshmi Cement Ltd.,Construction Materials,607.2,0.68,90455,239900,0.3771,16,2026-06-03
648,LALPATHLAB.NS,Dr. Lal Path Labs Ltd.,Healthcare,1569.6,0.55,108327,288921,0.3749,16,2026-06-03
649,TEGA.NS,Tega Industries Ltd.,Capital Goods,1821.1,-0.33,109379,291789,0.3749,16,2026-06-03
650,FIRSTCRY.NS,Brainbees Solutions Ltd.,Consumer Services,222.07,-0.33,1309289,3514888,0.3725,16,2026-06-03
651,SAMHI.NS,Samhi Hotels Ltd.,Consumer Services,168.22,-0.77,432854,1181931,0.3662,16,2026-06-03
652,KIRLPNU.NS,Kirloskar Pneumatic Company Ltd.,Capital Goods,1579.5,0.06,51072,140232,0.3642,16,2026-06-03
653,SWIGGY.NS,Swiggy Ltd.,Consumer Services,251.9,-0.89,3858717,10671019,0.3616,16,2026-06-03
654,DOMS.NS,DOMS Industries Ltd.,Fast Moving Consumer Goods,2154.7,-1.27,21010,58189,0.3611,16,2026-06-03
655,DEEPAKFERT.NS,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,1406.9,0.09,202060,559967,0.3608,16,2026-06-03
656,BASF.NS,BASF India Ltd.,Chemicals,3312.8,-1.07,12794,35568,0.3597,16,2026-06-03
657,YATHARTH.NS,Yatharth Hospital & Trauma Care Services Ltd.,Healthcare,810.5,-0.3,175216,488581,0.3586,16,2026-06-03
658,ENGINERSIN.NS,Engineers India Ltd.,Construction,228.02,0.35,1792447,5005080,0.3581,16,2026-06-03
659,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,4521.3,-0.68,49880,140030,0.3562,16,2026-06-03
660,GAIL.NS,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,163.86,-0.59,4682981,13187696,0.3551,16,2026-06-03
661,AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,464.25,-2.58,33675,94893,0.3549,16,2026-06-03
662,SHARDACROP.NS,Sharda Cropchem Ltd.,Chemicals,918.4,1.15,305801,876590,0.3489,16,2026-06-03
663,NEULANDLAB.NS,Neuland Laboratories Ltd.,Healthcare,16992.0,0.49,26917,77596,0.3469,16,2026-06-03
664,APTUS.NS,Aptus Value Housing Finance India Ltd.,Financial Services,257.6,-1.15,283865,826858,0.3433,16,2026-06-03
665,CLEAN.NS,Clean Science and Technology Ltd.,Chemicals,793.5,1.32,111134,324904,0.3421,16,2026-06-03
666,KAYNES.NS,Kaynes Technology India Ltd.,Capital Goods,3214.4,1.43,895659,2633452,0.3401,16,2026-06-03
667,INNOVACAP.NS,Innova Captab Ltd.,Healthcare,857.0,-0.63,16106,47673,0.3378,16,2026-06-03
668,STYRENIX.NS,Styrenix Performance Materials Ltd.,Chemicals,2231.7,-1.39,7703,23004,0.3349,16,2026-06-03
669,SHYAMMETL.NS,Shyam Metalics and Energy Ltd.,Capital Goods,979.95,-0.48,286090,859859,0.3327,16,2026-06-03
670,ARE&M.NS,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,859.05,-0.82,500361,1531473,0.3267,16,2026-06-03
671,HIKAL.NS,Hikal Ltd.,Healthcare,187.98,-1.8,112002,343520,0.326,16,2026-06-03
672,SPARC.NS,Sun Pharma Advanced Research Company Ltd.,Healthcare,208.5,2.09,4847063,14868299,0.326,16,2026-06-03
673,IFBIND.NS,IFB Industries Ltd.,Consumer Durables,1279.7,-2.89,123559,380689,0.3246,16,2026-06-03
674,DHANUKA.NS,Dhanuka Agritech Ltd.,Chemicals,1093.7,-0.23,100573,311569,0.3228,16,2026-06-03
675,GILLETTE.NS,Gillette India Ltd.,Fast Moving Consumer Goods,7719.0,-0.34,12413,38473,0.3226,16,2026-06-03
676,NLCINDIA.NS,NLC India Ltd.,Power,346.0,-0.89,3484725,10895895,0.3198,16,2026-06-03
677,SUDARSCHEM.NS,Sudarshan Chemical Industries Ltd.,Chemicals,885.9,-1.26,126554,400059,0.3163,16,2026-06-03
678,ASTRAMICRO.NS,Astra Microwave Products Ltd.,Capital Goods,1323.7,-0.01,510921,1615537,0.3163,16,2026-06-03
679,FSL.NS,Firstsource Solutions Ltd.,Services,267.45,-1.22,1159728,3671560,0.3159,16,2026-06-03
680,SAILIFE.NS,Sai Life Sciences Ltd.,Healthcare,1137.7,0.83,330740,1056807,0.313,16,2026-06-03
681,EASEMYTRIP.NS,Easy Trip Planners Ltd.,Consumer Services,6.9,-0.72,11467859,36684433,0.3126,16,2026-06-03
682,BLACKBUCK.NS,Blackbuck Ltd.,Services,509.9,-1.05,269867,871564,0.3096,16,2026-06-03
683,AVALON.NS,Avalon Technologies Ltd.,Capital Goods,1515.8,0.26,223241,723895,0.3084,16,2026-06-03
684,BLUEJET.NS,Blue Jet Healthcare Ltd.,Healthcare,447.1,-1.19,272833,888597,0.307,16,2026-06-03
685,ELECON.NS,Elecon Engineering Co. Ltd.,Capital Goods,505.35,-0.7,206104,675166,0.3053,16,2026-06-03
686,EIEL.NS,Enviro Infra Engineers Ltd.,Utilities,183.43,-2.19,741839,2439083,0.3041,16,2026-06-03
687,WHIRLPOOL.NS,Whirlpool of India Ltd.,Consumer Durables,818.5,-1.33,91938,308956,0.2976,16,2026-06-03
688,CROMPTON.NS,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,272.65,-0.29,1201653,4048753,0.2968,16,2026-06-03
689,GODREJAGRO.NS,Godrej Agrovet Ltd.,Fast Moving Consumer Goods,576.55,-1.11,57887,198633,0.2914,16,2026-06-03
690,STAR.NS,Strides Pharma Science Ltd.,Healthcare,1081.2,0.58,131663,455386,0.2891,16,2026-06-03
