Symbol,Company Name,Sector
HGINFRA.NS,H G Infra Engineering Ltd,Infrastructure
HBLENGINE.NS,HBLENGINE,Other
HCLTECH.NS,HCL Technologies Ltd,Technology
HDFCAMC.NS,HDFC Asset Management Company Ltd,Finance
HDFCBANK.NS,HDFC Bank Ltd,Banking
HDFCLIFE.NS,HDFC Life Insurance Company Ltd,Insurance
HFCL.NS,HFCL,Other
HAPPSTMNDS.NS,Happiest Minds Technologies Ltd,Technology
HAVELLS.NS,Havells India Ltd,Capital Goods
HCG.NS,HCG,Other
HEMIPROP.NS,HEMIPROP,Other
HERITGFOOD.NS,HERITGFOOD,Other
HEROMOTOCO.NS,Hero MotoCorp Ltd,Automobile
HEXT.NS,HEXT,Other
HIKAL.NS,HIKAL,Other
HSCL.NS,HSCL,Other
HINDALCO.NS,Hindalco Industries Ltd,Metals
HAL.NS,Hindustan Aeronautics Ltd,Defence
HCC.NS,HCC,Other
HINDCOPPER.NS,HINDCOPPER,Other
HINDPETRO.NS,Hindustan Petroleum Corp Ltd,Energy
HINDUNILVR.NS,Hindustan Unilever Ltd,FMCG
HINDZINC.NS,Hindustan Zinc Ltd,Metals
POWERINDIA.NS,POWERINDIA,Other
HOMEFIRST.NS,Home First Finance Company India Ltd,Finance
HONASA.NS,HONASA,Other
HONAUT.NS,HONAUT,Other
HUDCO.NS,HUDCO,Other
HYUNDAI.NS,HYUNDAI,Other
ICICIBANK.NS,ICICI Bank Ltd,Banking
ICICIGI.NS,ICICI Lombard General Insurance Co Ltd,Insurance
ICICIPRULI.NS,ICICI Prudential Life Insurance Co Ltd,Insurance
IDBI.NS,IDBI,Other
IDFCFIRSTB.NS,IDFC First Bank Ltd,Banking
IFBIND.NS,IFBIND,Other
IFCI.NS,IFCI,Other
IIFLCAPS.NS,IIFLCAPS,Other
IIFL.NS,IIFL,Other
INOXINDIA.NS,Inox India Ltd,Capital Goods
IRB.NS,IRB,Other
IRCON.NS,Ircon International Ltd,Infrastructure
ITCHOTELS.NS,ITC Hotels Ltd,Hospitality
ITC.NS,ITC Ltd,FMCG
ITI.NS,ITI,Other
